1601,Haileab,Bsrat,Bern,Haileab_Bsrat@gmail.com,Haileab@Bsrat
1602,Kbrom,Hagos,Bern,Kbrom_Hagos@gmail.com,Kbrom@Hagos
1603,Yonas,Gebrehiwet,Bern,Yonas_Gebrehiwet@gmail.com,Yonas@Gebrehiwet
1604,yohans,Tesfay,Bern,yohans_Tesfay@gmail.com,yohans@Tesfay
1605,Tiegisti,Kflu,Bern,Tiegisti_Kflu@gmail.com,Tiegisti@Kflu
1606,Elsa,Habtemichael,Bern,Elsa_Habtemichael@gmail.com,Elsa@Habtemichael
1607,Yemane,Abraham,Neunburg,Yemane_Abraham@gmail.com,Yemane@Abraham
1608,Yemane,Beraki,Bern,Yemane_Beraki@gmail.com,Yemane@Beraki
1609,Mulue,Aregawi,Bern,Mulue_Aregawi@gmail.com,Mulue@Aregawi
1610,Biniam,Abraham,Bern,Biniam_Abraham@gmail.com,Biniam@Abraham
1611,Amlesom,Tesfazghi,Bern,Amlesom_Tesfazghi@gmail.com,Amlesom@Tesfazghi
1612,Helen,Brhane,Bern,Helen_Brhane@gmail.com,Helen@Brhane
1613,Amanuel,Zeru,Bern,Amanuel_Zeru@gmail.com,Amanuel@Zeru
1614,Askalu,Gebrehiwet,Zürich,Askalu_Gebrehiwet@gmail.com,Askalu@Gebrehiwet
1615,Filmon,Kbrom,Bern,Filmon_Kbrom@gmail.com,Filmon@Kbrom
1616,Feven,Bereket,Zurich,Feven_Bereket@gmail.com,Feven@Bereket
1617,Nebyat,Ferej,Zurich,Nebyat_Ferej@gmail.com,Nebyat@Ferej
1618,Eden,Efrem,Olten,Eden_Efrem@gmail.com,Eden@Efrem
1619,Akberet,Megos,Zurich,Akberet_Megos@gmail.com,Akberet@Megos
1620,Mehari,Araya,Bern,Mehari_Araya@gmail.com,Mehari@Araya
1621,Askalu,Hadera,Zurich,Askalu_Hadera@gmail.com,Askalu@Hadera
1622,Brhan,Hailu,Neuburg,Brhan_Hailu@gmail.com,Brhan@Hailu
